City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Severo-Kurilsk,RU,59.34,broken clouds,50.6789,156.125,Kak Doma
2,Esperance,AU,58.84,clear sky,-33.8667,121.9,Hospitality Esperance
4,Castro,BR,54.99,clear sky,-24.7911,-50.0119,CHACARA BAILLY
5,Sorland,NO,54.14,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
7,Husavik,IS,51.98,clear sky,66.0449,-17.3389,Bjarnabúð
9,Hermanus,ZA,50.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Punta Arenas,CL,33.91,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
16,Piopio,NZ,57.96,broken clouds,-38.4667,175.0167,Owls Nest Motel
17,Lapua,FI,55.35,overcast clouds,62.9693,23.0088,Hotelli Lapuahovi
19,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
22,Mataura,NZ,49.48,light rain,-46.1927,168.8643,Ellie's Villa
24,Tiksi,RU,56.1,broken clouds,71.6872,128.8694,Arktika
27,Clyde River,CA,34.03,light rain,70.4692,-68.5914,Qamaq Hotel
32,Bredasdorp,ZA,50.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
35,Port Alfred,ZA,59.74,scattered clouds,-33.5906,26.891,The Halyards Hotel
36,Pevek,RU,35.94,broken clouds,69.7008,170.3133,Hotel ABC
38,Bluff,NZ,49.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
41,Tasiilaq,GL,41.16,scattered clouds,65.6145,-37.6368,The Red House
52,Longyearbyen,SJ,44.44,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
54,Cherskiy,RU,54.93,clear sky,68.75,161.3,Gostinitsa
58,Ushuaia,AR,33.46,few clouds,-54.8,-68.3,Albatros Hotel
62,Te Anau,NZ,46.8,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
63,Luau,AO,58.66,few clouds,-10.7073,22.2247,Casa- Bernardo Cândido
76,Andenes,NO,52.47,mist,69.3143,16.1194,Hotell Marena
78,Kruisfontein,ZA,51.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
89,Ilulissat,GL,50.02,overcast clouds,69.2167,-51.1,Hotel Arctic
90,Fortuna,US,55.98,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
93,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
96,Launceston,AU,52.81,light rain,-41.45,147.1667,Hotel Grand Chancellor Launceston
99,East London,ZA,58.69,scattered clouds,-33.0153,27.9116,Tu Casa
101,New Norfolk,AU,54.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
106,Kautokeino,NO,51.04,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
113,Lilongwe,MW,51.44,few clouds,-13.9669,33.7873,Spendwise furnished apartments.
114,Constitucion,CL,50.56,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
116,Qaanaaq,GL,38.91,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
120,Tuatapere,NZ,49.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
125,Vardo,NO,45.9,broken clouds,70.3705,31.1107,Vardø Hotel AS
126,Mar Del Plata,AR,47.12,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
128,Barrow,US,39.22,moderate rain,71.2906,-156.7887,King Eider Inn
129,Tuktoyaktuk,CA,44.06,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
135,Lebu,CL,48.42,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
141,Panguipulli,CL,37.33,scattered clouds,-39.6333,-72.3333,Cabañas Mis Viejos
144,Juneau,US,59.85,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
147,Chuy,UY,58.37,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
149,Kodiak,US,56.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
159,Inverell,AU,58.66,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
160,Mezen,RU,48.99,light rain,65.8522,44.24,Gostevoy Dom Everest
161,Moron,AR,55.96,clear sky,-34.6534,-58.6198,Hotel Morón
164,Wanaka,NZ,43.61,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
167,Balaka,MW,52.27,clear sky,-14.9793,34.9558,Sun Village Lodge
