City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Beloha,MG,-25.1667,45.05,59.0,77,1,10.74,clear sky
1,Severo-Kurilsk,RU,50.6789,156.125,59.34,88,74,3.49,broken clouds
2,Esperance,AU,-33.8667,121.9,58.84,72,3,22.48,clear sky
3,Bijie,CN,27.3125,105.2942,72.84,75,7,1.25,clear sky
4,Castro,BR,-24.7911,-50.0119,54.99,61,5,3.51,clear sky
5,Sorland,NO,67.667,12.6934,54.14,83,100,4.59,overcast clouds
6,Nikolskoye,RU,59.7035,30.7861,63.81,62,89,4.34,overcast clouds
7,Husavik,IS,66.0449,-17.3389,51.98,65,0,15.14,clear sky
8,Yerbogachen,RU,61.2767,108.0108,79.11,41,52,2.93,broken clouds
9,Hermanus,ZA,-34.4187,19.2345,50.81,51,100,9.51,overcast clouds
10,Akyab,MM,20.15,92.9,79.36,94,100,22.66,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,12.66,clear sky
12,Vila Velha,BR,-20.3297,-40.2925,64.35,94,0,0.0,clear sky
13,Pochutla,MX,15.7432,-96.4661,78.82,92,99,3.62,overcast clouds
14,Saint George,US,37.1041,-113.5841,82.35,60,1,1.99,clear sky
15,Jamestown,US,42.097,-79.2353,71.24,83,1,3.29,clear sky
16,Piopio,NZ,-38.4667,175.0167,57.96,97,77,5.39,broken clouds
17,Lapua,FI,62.9693,23.0088,55.35,80,86,3.58,overcast clouds
18,Saskylakh,RU,71.9167,114.0833,59.65,56,89,16.37,overcast clouds
19,Hobart,AU,-42.8794,147.3294,55.26,64,75,3.0,broken clouds
20,Albany,US,42.6001,-73.9662,72.39,94,0,4.09,clear sky
21,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,3,5.99,clear sky
22,Mataura,NZ,-46.1927,168.8643,49.48,88,100,1.57,light rain
23,Rikitea,PF,-23.1203,-134.9692,71.51,73,22,6.02,few clouds
24,Tiksi,RU,71.6872,128.8694,56.1,79,83,8.88,broken clouds
25,Diu,IN,20.7141,70.9822,78.42,93,100,20.6,overcast clouds
26,Pacifica,US,37.6138,-122.4869,84.56,80,75,4.0,broken clouds
27,Clyde River,CA,70.4692,-68.5914,34.03,100,90,4.61,light rain
28,Busselton,AU,-33.65,115.3333,65.05,71,1,25.17,clear sky
29,Nalut,LY,30.3333,10.85,78.35,25,0,11.92,clear sky
30,Aksu,CN,41.1231,80.2644,89.6,17,0,4.21,clear sky
31,Otjimbingwe,NA,-22.35,16.1333,55.35,50,24,8.03,few clouds
32,Bredasdorp,ZA,-34.5322,20.0403,50.29,42,100,6.55,overcast clouds
33,Saint-Philippe,RE,-21.3585,55.7679,65.75,70,58,11.5,broken clouds
34,Saint-Leu,RE,-21.15,55.2833,65.23,70,19,6.82,few clouds
35,Port Alfred,ZA,-33.5906,26.891,59.74,31,43,11.9,scattered clouds
36,Pevek,RU,69.7008,170.3133,35.94,88,79,10.11,broken clouds
37,Bethel,US,41.3712,-73.414,74.68,90,0,2.46,clear sky
38,Bluff,NZ,-46.6,168.3333,49.8,84,100,1.52,moderate rain
39,Avarua,CK,-21.2078,-159.775,78.85,73,20,10.36,few clouds
40,Jiexiu,CN,37.0244,111.9125,82.17,59,100,4.68,overcast clouds
41,Tasiilaq,GL,65.6145,-37.6368,41.16,84,27,4.5,scattered clouds
42,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.32,50,5,1.88,clear sky
43,Haines Junction,CA,60.7522,-137.5108,61.16,48,100,4.52,overcast clouds
44,Kilindoni,TZ,-7.9139,39.6668,73.54,74,85,20.4,light rain
45,Atar,MR,20.5169,-13.0499,86.0,33,99,5.28,overcast clouds
46,Brainerd,US,46.358,-94.2008,77.29,30,0,2.37,clear sky
47,Nizhniy Baskunchak,RU,48.2198,46.8311,75.52,37,92,11.32,overcast clouds
48,Atuona,PF,-9.8,-139.0333,78.28,71,6,24.85,clear sky
49,Moron De La Frontera,ES,37.1208,-5.454,74.61,73,0,8.05,clear sky
50,Butaritari,KI,3.0707,172.7902,78.96,87,99,15.84,moderate rain
51,Quepos,CR,9.4236,-84.1652,82.06,89,100,7.61,overcast clouds
52,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,6.91,broken clouds
53,Mandalgovi,MN,45.7625,106.2708,64.17,62,100,9.98,overcast clouds
54,Cherskiy,RU,68.75,161.3,54.93,46,0,13.35,clear sky
55,Souillac,MU,-20.5167,57.5167,68.11,65,1,10.07,clear sky
56,Tezu,IN,27.9167,96.1667,80.13,97,100,0.4,light rain
57,Sola,VU,-13.8833,167.55,80.33,78,18,10.76,few clouds
58,Ushuaia,AR,-54.8,-68.3,33.46,80,20,4.61,few clouds
59,Baruun-Urt,MN,46.6806,113.2792,66.25,56,100,13.87,light rain
60,Yellowknife,CA,62.456,-114.3525,60.3,49,51,1.01,broken clouds
61,Kavieng,PG,-2.5744,150.7967,83.79,68,30,4.25,scattered clouds
62,Te Anau,NZ,-45.4167,167.7167,46.8,92,100,1.59,light rain
63,Luau,AO,-10.7073,22.2247,58.66,43,18,7.87,few clouds
64,Sao Filipe,CV,14.8961,-24.4956,73.71,77,74,6.04,broken clouds
65,Erenhot,CN,43.6475,111.9767,66.87,61,87,16.84,overcast clouds
66,Mitsamiouli,KM,-11.3847,43.2844,76.1,69,74,13.31,light rain
67,Oudtshoorn,ZA,-33.5907,22.2014,62.96,33,66,9.55,broken clouds
68,Kapaa,US,22.0752,-159.319,87.78,79,61,3.0,light rain
69,Hilo,US,19.7297,-155.09,75.61,94,90,8.05,moderate rain
70,Ahuimanu,US,21.4447,-157.8378,87.51,67,75,11.5,broken clouds
71,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
72,Walvis Bay,NA,-22.9575,14.5053,71.01,33,91,12.57,overcast clouds
73,San Cristobal,VE,7.7669,-72.225,69.98,99,97,2.66,overcast clouds
74,Bilma,NE,18.6853,12.9164,88.59,42,99,12.44,overcast clouds
